,geo,time,cell_phones_total
370,asm,1975,0.0
371,asm,1976,0.0
372,asm,1977,0.0
373,asm,1978,0.0
374,asm,1979,0.0
375,asm,1980,0.0
376,asm,1981,0.0
377,asm,1982,0.0
378,asm,1983,0.0
379,asm,1984,0.0
380,asm,1985,0.0
381,asm,1986,0.0
382,asm,1990,0.0
383,asm,1991,0.0
384,asm,1992,700.0
385,asm,1993,900.0
386,asm,1994,1200.0
387,asm,1995,1250.0
388,asm,1996,1300.0
389,asm,1997,1400.0
390,asm,1998,1500.0
391,asm,1999,1800.0
392,asm,2000,1992.0
393,asm,2001,2156.0
394,asm,2002,2036.0
395,asm,2003,2100.0
396,asm,2004,2250.0
397,atg,1960,0.0
398,atg,1965,0.0
399,atg,1970,0.0
400,atg,1975,0.0
401,atg,1976,0.0
402,atg,1977,0.0
403,atg,1978,0.0
404,atg,1979,0.0
405,atg,1980,0.0
406,atg,1981,0.0
407,atg,1982,0.0
408,atg,1983,0.0
409,atg,1984,0.0
410,atg,1985,0.0
411,atg,1986,0.0
412,atg,1987,0.0
413,atg,1988,0.0
414,atg,1990,0.0
415,atg,1996,1300.0
416,atg,1997,1400.0
417,atg,1998,1500.0
418,atg,1999,8500.0
419,atg,2000,22000.0
420,atg,2001,25000.0
421,atg,2002,38205.0
422,atg,2003,46100.0
423,atg,2004,54000.0
424,atg,2005,86000.0
425,atg,2006,110177.0
426,atg,2007,112381.0
427,atg,2008,136592.0
428,atg,2009,134925.0
429,atg,2010,167970.0
430,atg,2011,176008.0
431,atg,2012,127381.0
432,atg,2013,114358.0
433,atg,2014,120041.0
434,atg,2015,176000.0
435,atg,2016,180000.0
436,atg,2017,184000.0
437,aus,1960,0.0
438,aus,1965,0.0
439,aus,1970,0.0
440,aus,1975,0.0
441,aus,1976,0.0
442,aus,1977,0.0
443,aus,1978,0.0
444,aus,1979,0.0
445,aus,1980,0.0
446,aus,1981,0.0
447,aus,1982,0.0
448,aus,1983,0.0
449,aus,1984,0.0
450,aus,1985,0.0
451,aus,1986,0.0
452,aus,1987,4423.0
453,aus,1988,31622.0
454,aus,1989,94529.0
455,aus,1990,184943.0
456,aus,1991,291459.0
457,aus,1992,497000.0
458,aus,1993,690000.0
459,aus,1994,1220000.0
460,aus,1995,2242000.0
461,aus,1996,3990000.0
462,aus,1997,4578000.0
463,aus,1998,4918000.0
464,aus,1999,6315000.0
