,word,doc0,doc1,doc2
70,affected,0.0,0.0,0.01782914661072685
71,affection,0.0,0.04826963882812377,0.03389881387948034
72,affectionate,0.0,0.0,0.008914573305363426
73,affectionately,0.0,0.0,0.008914573305363426
74,affections,0.0,0.021156258116020076,0.0
75,affirm,0.0,0.010578129058010038,0.0
76,affirmative,0.0,0.010578129058010038,0.0
77,afflicted,0.0,0.010578129058010038,0.0
78,affluence,0.0,0.0,0.008914573305363426
79,afford,0.0,0.0,0.008914573305363426
80,afforded,0.0,0.010578129058010038,0.0
81,afraid,0.012440673793328114,0.0,0.0
82,agatha,0.0,0.0,0.15154774619117825
83,age,0.0,0.05289064529005019,0.0
84,aged,0.0,0.0,0.01782914661072685
85,agents,0.0,0.010578129058010038,0.0
86,ages,0.0,0.021156258116020076,0.0
87,agile,0.0,0.0,0.008914573305363426
88,agony,0.0,0.0,0.008914573305363426
89,agree,0.012440673793328114,0.0,0.0
90,agreeable,0.018922906167662762,0.0,0.006779762775896069
91,agreed,0.012440673793328114,0.0,0.0
92,agrippa,0.0,0.07404690340607027,0.0
93,ah,0.009461453083831381,0.008044939804687295,0.0
94,aid,0.0,0.0,0.01782914661072685
95,aided,0.0,0.008044939804687295,0.006779762775896069
96,aim,0.0,0.010578129058010038,0.0
97,air,0.007347662351015359,0.012495226852649297,0.026325453001715016
98,airs,0.0,0.0,0.01782914661072685
99,akin,0.0,0.021156258116020076,0.0
100,alarm,0.0,0.010578129058010038,0.0
101,alarmed,0.0,0.010578129058010038,0.0
102,alarming,0.0,0.010578129058010038,0.0
103,alas,0.0,0.008044939804687295,0.006779762775896069
104,albertus,0.0,0.03173438717403012,0.0
105,alchemists,0.0,0.021156258116020076,0.0
106,alighted,0.0,0.010578129058010038,0.0
107,alike,0.0,0.0,0.008914573305363426
108,alleged,0.0,0.0,0.008914573305363426
109,allow,0.0,0.01608987960937459,0.006779762775896069
110,allowed,0.0,0.008044939804687295,0.027119051103584275
111,alloy,0.0,0.010578129058010038,0.0
112,allured,0.0,0.0,0.01782914661072685
113,aloud,0.0,0.0,0.008914573305363426
114,alpine,0.0,0.010578129058010038,0.0
115,alter,0.0,0.0,0.008914573305363426
116,alteration,0.0,0.0,0.01782914661072685
117,altered,0.0,0.0,0.008914573305363426
118,alternate,0.0,0.010578129058010038,0.0
119,altogether,0.018922906167662762,0.008044939804687295,0.0
120,amazed,0.0,0.0,0.008914573305363426
121,ambition,0.0,0.03173438717403012,0.0
122,amends,0.012440673793328114,0.0,0.0
123,america,0.0,0.010578129058010038,0.0
124,american,0.0,0.0,0.008914573305363426
125,amiable,0.007347662351015359,0.006247613426324648,0.02106036240137201
126,amidst,0.0,0.010578129058010038,0.0
127,ample,0.0,0.021156258116020076,0.0
128,amusement,0.009461453083831381,0.008044939804687295,0.0
129,amusements,0.0,0.0,0.008914573305363426
130,analysing,0.0,0.010578129058010038,0.0
131,anatomise,0.0,0.010578129058010038,0.0
132,anatomy,0.0,0.010578129058010038,0.0
133,ancestors,0.0,0.010578129058010038,0.0
134,ancient,0.0,0.05289064529005019,0.0
135,anew,0.0,0.010578129058010038,0.0
136,angel,0.0,0.03173438717403012,0.0
137,angelic,0.0,0.0,0.008914573305363426
138,angrily,0.0,0.0,0.008914573305363426
139,angry,0.012440673793328114,0.0,0.0
140,animal,0.0,0.03173438717403012,0.0
141,animals,0.0,0.0,0.008914573305363426
142,animate,0.0,0.021156258116020076,0.0
143,animated,0.0,0.024134819414061884,0.013559525551792137
144,animation,0.0,0.03173438717403012,0.0
145,ankle,0.012440673793328114,0.0,0.0
146,annihilation,0.0,0.010578129058010038,0.0
147,announced,0.0,0.010578129058010038,0.0
148,answer,0.02488134758665623,0.0,0.0
149,answered,0.0,0.0,0.008914573305363426
