ID,gender,age,group,time
13462,M,40,M40-44,7.331388888
13463,F,52,F50-54,7.285833333
13464,M,53,M50-54,7.285555555
13465,F,56,F55-59,7.320833333
13466,F,51,F50-54,7.146944445
13467,F,38,F35-39,7.060277778
13468,F,31,F30-34,7.251666667
13469,F,29,F25-29,7.218611112
13470,F,41,F40-44,7.250555555
13471,M,62,M60-64,7.298888888
13472,F,36,F35-39,7.184722222
13473,M,46,M45-49,7.143055555
13474,F,42,F40-44,7.185
13475,F,51,F50-54,7.212777778
13476,F,22,F18-24,7.212777778
13477,F,55,F55-59,7.076388888
13478,F,33,F30-34,7.283611112
13479,F,32,F30-34,7.283611112
13480,F,34,F30-34,7.2175
13481,F,47,F45-49,7.301944445
13482,M,29,M25-29,7.258888888
13483,M,27,M25-29,7.258888888
13484,M,25,M25-29,7.258888888
13485,F,28,F25-29,7.258888888
13486,F,25,F25-29,7.258888888
13487,F,24,F18-24,7.009444445
13488,M,59,M55-59,7.009722222
13489,F,45,F45-49,7.181388888
13490,F,58,F55-59,7.329444445
13491,M,61,M60-64,7.215
13492,F,40,F40-44,7.268333333
13493,F,41,F40-44,7.251944445
13494,F,55,F55-59,7.215
13495,M,42,M40-44,7.2525
13496,F,44,F40-44,7.226944445
13497,F,38,F35-39,7.216666667
13498,F,58,F55-59,7.216944445
13499,F,55,F55-59,7.298611112
13500,F,32,F30-34,7.259722222
13501,F,46,F45-49,7.298333333
13502,M,44,M40-44,7.103888888
13503,F,38,F35-39,7.221388888
13504,F,43,F40-44,7.103888888
13505,F,40,F40-44,7.267222222
13506,F,31,F30-34,7.26
13507,M,48,M45-49,7.106944445
13508,F,50,F50-54,7.185555555
13509,F,43,F40-44,7.158888888
13510,F,49,F45-49,7.158611112
13511,F,33,F30-34,7.230833333
13512,M,28,M25-29,7.257777778
13513,F,28,F25-29,7.257777778
13514,F,32,F30-34,7.260833333
13515,F,48,F45-49,7.27
13516,F,41,F40-44,7.261944445
13517,F,31,F30-34,7.264166667
13518,M,54,M50-54,7.256388888
13519,M,42,M40-44,7.262222222
13520,F,28,F25-29,7.264166667
13521,F,30,F30-34,7.264444445
13522,M,33,M30-34,7.258611112
13523,M,50,M50-54,7.261944445
13524,F,34,F30-34,7.258611112
13525,M,43,M40-44,7.264444445
13526,F,44,F40-44,7.296388888
13527,M,32,M30-34,7.229722222
13528,F,53,F50-54,7.267777778
13529,F,56,F55-59,7.268055555
13530,F,50,F50-54,7.075833333
13531,M,34,M30-34,7.073611112
13532,F,56,F55-59,7.268055555
13533,F,62,F60-64,7.268055555
13534,F,29,F25-29,7.073611112
13535,F,40,F40-44,7.265
13536,F,48,F45-49,7.265277778
13537,F,24,F18-24,7.230833333
13538,F,56,F55-59,7.231111112
13539,F,41,F40-44,7.236666667
13540,F,41,F40-44,7.168888888
13541,M,59,M55-59,7.278055555
13542,F,45,F45-49,7.264166667
13543,M,35,M35-39,7.237222222
13544,F,34,F30-34,7.265277778
13545,F,28,F25-29,7.237222222
13546,F,34,F30-34,7.265277778
13547,F,47,F45-49,7.361944445
13548,M,39,M35-39,7.361944445
13549,F,47,F45-49,7.279166667
13550,F,33,F30-34,7.229166667
13551,F,41,F40-44,7.229166667
13552,M,63,M60-64,7.308611112
13553,F,48,F45-49,7.265555555
13554,M,63,M60-64,7.013611112
13555,F,64,F60-64,7.239166667
13556,F,53,F50-54,7.013611112
13557,F,44,F40-44,7.2725
13558,F,52,F50-54,7.2725
13559,M,33,M30-34,7.312222222
13560,F,37,F35-39,7.271666667
13561,F,48,F45-49,7.272222222
13562,F,32,F30-34,7.084722222
13563,M,34,M30-34,7.166944445
13564,M,39,M35-39,7.166944445
13565,F,59,F55-59,7.240833333
13566,F,40,F40-44,6.956944445
13567,M,45,M45-49,7.277777778
13568,F,47,F45-49,7.174166667
13569,M,55,M55-59,7.091666667
13570,F,49,F45-49,7.355833333
13571,M,37,M35-39,7.201111112
13572,F,46,F45-49,7.240555555
13573,F,48,F45-49,7.160555555
13574,M,45,M45-49,7.269166667
13575,F,41,F40-44,7.086666667
13576,F,45,F45-49,7.082222222
13577,F,40,F40-44,7.0825
13578,F,33,F30-34,7.201388888
13579,F,41,F40-44,7.243888888
13580,F,55,F55-59,7.244444445
13581,F,30,F30-34,7.271388888
13582,F,40,F40-44,7.345277778
13583,M,44,M40-44,7.281388888
13584,M,42,M40-44,7.3475
13585,F,34,F30-34,7.273333333
13586,F,34,F30-34,7.241944445
13587,M,34,M30-34,7.055833333
13588,M,45,M45-49,7.021944445
13589,F,38,F35-39,7.2375
13590,F,32,F30-34,7.055833333
13591,M,32,M30-34,7.2425
13592,F,46,F45-49,7.271111112
